Style,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
CEE2841/1D,18646,6.3,172.767608506135,31.9823914938653,,,,,,,,,204.75
CEE2841/1D,18737,10.2,279.718985200409,51.7810147995914,,,,,,,,,331.5
CEE2841/1D,18763,24.2,663.64700410293,122.85299589707,,,,,,,,,786.5
CEE2841/1D,18904,12.3,337.308188035787,62.4418119642132,,,,,,,,,399.75
CEE2841/1D,18929,0.6,16.4540579529652,3.04594204703479,,,,,,,,,19.5
CEE3050/1CU,12526,11.7,208.452474814197,254.775246995129,254.775246995129,254.775246995129,254.775246995129,254.775246995129,254.775246995129,113.262743215028,,,1850.3667
CEE3050/1CU,18233,6.2,110.461995200685,135.009105245282,135.009105245282,135.009105245282,135.009105245282,135.009105245282,135.009105245282,60.0195733276223,,,980.5362
CEE3050/1CU,18438,27.4,488.170752983674,596.653142535601,596.653142535601,596.653142535601,596.653142535601,596.653142535601,596.653142535601,265.247791802716,,,4333.3374
CEE3050/1CU,18646,6.2,110.461995200685,135.009105245282,135.009105245282,135.009105245282,135.009105245282,135.009105245282,135.009105245282,60.0195733276223,,,980.5362
CEE3050/1CU,18737,10.1,179.946153472084,219.934187576992,219.934187576992,219.934187576992,219.934187576992,219.934187576992,219.934187576992,97.7738210659651,,,1597.3251
CEE3050/1CU,18763,25.8,459.664431641562,561.812083117464,561.812083117464,561.812083117464,561.812083117464,561.812083117464,561.812083117464,249.758869653653,,,4080.2958
CEE3050/1CU,18904,12.0,213.797410065843,261.30794563603,261.30794563603,261.30794563603,261.30794563603,261.30794563603,261.30794563603,116.166916117978,,,1897.812
CEE3050/1CU,18929,0.6,10.6898705032921,13.0653972818015,13.0653972818015,13.0653972818015,13.0653972818015,13.0653972818015,13.0653972818015,5.80834580589891,,,94.8906
CEE3267/3CEL,18307,10.1,51.3585,,,,,,,,,,51.3585
CEE3267/3CEL,18358,12.0,61.02,,,,,,,,,,61.02
CEE3267/3CEL,18430,25.2,128.142,,,,,,,,,,128.142
CEE3267/3CEL,18605,10.3,52.3755,,,,,,,,,,52.3755
CEE3267/3CEL,18763,42.4,215.604,,,,,,,,,,215.604
CEE3466/1L,18307,8.8,161.514815159221,197.406996305715,103.078188535064,,,,,,,,462.0
CEE3466/1L,18594,30.5,559.795666176847,684.194703105035,357.259630718119,,,,,,,,1601.25
CEE3466/1L,18646,10.9,200.058123322217,244.515484060488,127.676392617295,,,,,,,,572.25
CEE3466/1L,18763,39.0,715.80429445564,874.871915445782,456.823790098578,,,,,,,,2047.5
CEE3466/1L,18894,10.1,185.374958307743,226.569393487241,118.305648205016,,,,,,,,530.25
CEE3466/1L,18929,0.7,12.8477693876653,15.702829251591,8.1994013607437,,,,,,,,36.75
CEE4078/2A,12526,11.6,350.997229759763,229.993692195529,151.641878044708,,,,,,,,732.6328
CEE4078/2A,18208,10.1,305.609656946,200.253128549556,132.033014504444,,,,,,,,637.8958
